"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"FV2022 - Stemmeberettigede";"FV2022 - Afgivne stemmer";"FV2022 - Blanke stemmer";"FV2022 - Andre ugyldige stemmer";"FV2022 - Gyldige stemmer";"FV2022 - A. Socialdemokratiet";"FV2022 - B. Radikale Venstre";"FV2022 - C. Det Konservative Folkeparti";"FV2022 - D. Nye Borgerlige";"FV2022 - F. SF - Socialistisk Folkeparti";"FV2022 - I. Liberal Alliance";"FV2022 - K. Kristendemokraterne";"FV2022 - M. Minoritetspartiet";"FV2022 - O. Dansk Folkeparti";"FV2022 - Q. Frie Grønne, Danmarks Nye Venstrefløjsparti";"FV2022 - V. Venstre, Danmarks Liberale Parti";"FV2022 - Æ. Danmarksdemokraterne - Inger Støjberg";"FV2022 - Ø. Enhedslisten - De Rød-Grønne";"FV2022 - Å. Alternativet";"FV2022 - 1. Uden for partierne";"FV2022 - 2. Uden for partierne";"FV2022 - 3. Uden for partierne"
"440002";"440002";"46";"6";"2";"5360";"4687";"44";"21";"4622";"1737";"96";"329";"187";"299";"259";"14";"503";"126";"6";"476";"335";"162";"90";"3";"-";"-"
"440004";"440004";"46";"6";"2";"1711";"1516";"29";"5";"1482";"452";"24";"87";"74";"116";"99";"9";"151";"49";"2";"154";"170";"64";"30";"1";"-";"-"
"440005";"440005";"46";"6";"2";"1630";"1399";"33";"3";"1363";"422";"27";"100";"91";"58";"78";"12";"121";"38";"31";"135";"190";"38";"21";"1";"-";"-"
"440006";"440006";"46";"6";"2";"3491";"2996";"51";"9";"2936";"1082";"45";"293";"138";"167";"146";"11";"271";"67";"5";"357";"279";"50";"24";"1";"-";"-"
"440007";"440007";"46";"6";"2";"4438";"3596";"52";"8";"3536";"1552";"56";"155";"190";"254";"178";"12";"281";"119";"29";"271";"278";"120";"38";"3";"-";"-"
"450001";"450001";"46";"6";"2";"1295";"1121";"19";"2";"1100";"315";"18";"31";"55";"84";"71";"4";"94";"51";"3";"162";"153";"35";"21";"3";"-";"-"
"450002";"450002";"46";"6";"2";"7337";"5907";"81";"20";"5806";"2235";"134";"238";"151";"534";"352";"9";"505";"177";"49";"618";"432";"265";"106";"1";"-";"-"
"450003";"450003";"46";"6";"2";"5355";"4539";"64";"20";"4455";"1598";"127";"215";"122";"411";"293";"13";"485";"105";"7";"534";"279";"160";"100";"6";"-";"-"
"450004";"450004";"46";"6";"2";"1758";"1520";"29";"5";"1486";"508";"33";"54";"52";"109";"82";"8";"150";"33";"11";"188";"161";"53";"42";"2";"-";"-"
"450005";"450005";"46";"6";"2";"780";"664";"7";"3";"654";"174";"13";"24";"53";"36";"37";"3";"61";"20";"3";"111";"79";"30";"10";"0";"-";"-"
"450006";"450006";"46";"6";"2";"2220";"1873";"33";"8";"1832";"726";"17";"82";"82";"101";"93";"4";"118";"64";"7";"243";"248";"33";"14";"0";"-";"-"
"450007";"450007";"46";"6";"2";"358";"306";"12";"1";"293";"86";"4";"14";"27";"10";"19";"1";"21";"8";"0";"41";"53";"6";"3";"0";"-";"-"
"450008";"450008";"46";"6";"2";"455";"401";"6";"2";"393";"154";"5";"9";"34";"16";"21";"1";"31";"10";"3";"52";"45";"9";"3";"0";"-";"-"
"450009";"450009";"46";"6";"2";"688";"608";"11";"0";"597";"190";"16";"20";"43";"31";"23";"1";"61";"17";"1";"83";"77";"20";"11";"3";"-";"-"
"450010";"450010";"46";"6";"2";"1456";"1187";"17";"2";"1168";"367";"18";"46";"49";"53";"64";"4";"105";"36";"2";"231";"166";"19";"6";"2";"-";"-"
"450011";"450011";"46";"6";"2";"1065";"922";"17";"4";"901";"264";"31";"32";"60";"72";"35";"1";"84";"25";"1";"151";"95";"30";"20";"0";"-";"-"
